id,topic,difficulty,question,reference_solution,student_answer
1,integrals_exp,easy,Compute ∫ e^x dx.,∫e^x dx = e^x + C.,e^x + C
2,integrals_log,hard,Compute ∫ 1/(x-1) dx.,∫1/(x-1) dx = ln|x-1| + C.,ln(x-1)
3,derivatives_product,medium,Differentiate f(x)=x^2·sin(x).,By product rule: f'(x)=2x·sin(x)+x^2·cos(x).,x^2*cos(x)
4,limits_exp,hard,Find lim_{x→0} (e^x-1)/x.,The limit is 1.,1
5,derivatives_exp,easy,Differentiate f(x)=e^x.,f'(x)=e^x.,0
6,derivatives_product,medium,Differentiate f(x)=x^2·sin(x).,By product rule: f'(x)=2x·sin(x)+x^2·cos(x).,x^2*sin(x)
7,integrals_exp,easy,Compute ∫ e^x dx.,∫e^x dx = e^x + C.,e^(x-1) + C
8,integrals_power,easy,Compute ∫ 2x dx.,∫2x dx = x^2 + C.,2x + C
9,limits_trig,easy,Find lim_{x→0} sin(x)/x.,The limit is 1.,∞
10,derivatives_product,hard,Differentiate f(x)=x·e^x.,Product rule: f'(x)=e^x(1+x).,xe^x
11,integrals_log,hard,Compute ∫ 1/(x-1) dx.,∫1/(x-1) dx = ln|x-1| + C.,ln|x-1| + C
12,derivatives_power,easy,Differentiate f(x)=x^3.,"Using the power rule, f'(x)=3x^2.",3x^2
13,derivatives_power,easy,Differentiate f(x)=x^8.,"Using the power rule, f'(x)=8x^7.",7x^7
14,derivatives_trig,easy,Differentiate f(x)=sin(x).,f'(x)=cos(x).,-sin(x)
15,derivatives_power,easy,Differentiate f(x)=x^3.,"Using the power rule, f'(x)=3x^2.",I don't know.
16,derivatives_power,easy,Differentiate f(x)=x^8.,"Using the power rule, f'(x)=8x^7.",I don't know.
17,derivatives_power,easy,Differentiate f(x)=x^4.,"Using the power rule, f'(x)=4x^3.",4x^4
18,derivatives_power,easy,Differentiate f(x)=x^10.,"Using the power rule, f'(x)=10x^9.",I don't know.
19,integrals_power,medium,Compute ∫ x^3 dx.,∫x^3 dx = x^4/4 + C.,x^4/4 + C
20,derivatives_exp,easy,Differentiate f(x)=e^x.,f'(x)=e^x.,xe^x
21,derivatives_exp,easy,Differentiate f(x)=e^x.,f'(x)=e^x.,e^(x-1)
22,derivatives_power,easy,Differentiate f(x)=x^8.,"Using the power rule, f'(x)=8x^7.",x^7
23,derivatives_power,easy,Differentiate f(x)=x^10.,"Using the power rule, f'(x)=10x^9.",9x^9
24,limits_piecewise,medium,Find lim_{x→0} |x|/x.,"Left limit -1 and right limit 1, so the limit does not exist.",Does not exist
25,integrals_power,medium,Compute ∫ x^3 dx.,∫x^3 dx = x^4/4 + C.,x^4 + C
